group,event_label,event_code,epoch_index,event_sample,event_time_s,channel,is_bad,band,power,db
Major,34031,7,1,581344,283.859,T8,no,theta,1.397698e-12,-118.545
Major,34031,7,1,581344,283.859,T8,no,alpha,2.531438e-12,-115.966
Major,34031,7,1,581344,283.859,T8,no,beta,3.458398e-13,-124.608
Major,34031,7,1,581344,283.859,T8,no,gamma,2.252134e-13,-126.470
Major,34031,7,1,581344,283.859,F8,no,theta,1.593568e-12,-117.976
Major,34031,7,1,581344,283.859,F8,no,alpha,4.852653e-12,-113.140
Major,34031,7,1,581344,283.859,F8,no,beta,4.536520e-13,-123.431
Major,34031,7,1,581344,283.859,F8,no,gamma,1.946998e-13,-127.101
Major,34031,7,1,581344,283.859,FP1,no,theta,1.882662e-12,-117.252
Major,34031,7,1,581344,283.859,FP1,no,alpha,6.751802e-12,-111.706
Major,34031,7,1,581344,283.859,FP1,no,beta,3.845478e-13,-124.148
Major,34031,7,1,581344,283.859,FP1,no,gamma,1.078527e-13,-129.663
Major,34031,7,1,581344,283.859,C3,no,theta,6.355203e-13,-121.967
Major,34031,7,1,581344,283.859,C3,no,alpha,2.341417e-12,-116.305
Major,34031,7,1,581344,283.859,C3,no,beta,2.587717e-13,-125.867
Major,34031,7,1,581344,283.859,C3,no,gamma,1.462260e-13,-128.343
Major,34031,7,1,581344,283.859,T7,no,theta,7.443095e-13,-121.281
Major,34031,7,1,581344,283.859,T7,no,alpha,2.026704e-12,-116.932
Major,34031,7,1,581344,283.859,T7,no,beta,5.650085e-13,-122.478
Major,34031,7,1,581344,283.859,T7,no,gamma,3.373584e-13,-124.716
Major,34031,7,1,581344,283.859,P3,no,theta,1.237169e-12,-119.075
Major,34031,7,1,581344,283.859,P3,no,alpha,2.259567e-11,-106.460
Major,34031,7,1,581344,283.859,P3,no,beta,6.880804e-13,-121.622
Major,34031,7,1,581344,283.859,P3,no,gamma,1.725509e-13,-127.625
Major,34031,7,1,581344,283.859,P7,no,theta,1.612862e-12,-117.923
Major,34031,7,1,581344,283.859,P7,no,alpha,5.047825e-12,-112.969
Major,34031,7,1,581344,283.859,P7,no,beta,4.604648e-13,-123.366
Major,34031,7,1,581344,283.859,P7,no,gamma,1.037833e-13,-129.829
Major,34031,7,1,581344,283.859,CP3,no,theta,6.833534e-13,-121.652
Major,34031,7,1,581344,283.859,CP3,no,alpha,8.377979e-12,-110.768
Major,34031,7,1,581344,283.859,CP3,no,beta,3.317411e-13,-124.789
Major,34031,7,1,581344,283.859,CP3,no,gamma,8.288898e-14,-130.803
Major,34031,7,1,581344,283.859,TP7,no,theta,9.524319e-13,-120.211
Major,34031,7,1,581344,283.859,TP7,no,alpha,2.380480e-12,-116.233
Major,34031,7,1,581344,283.859,TP7,no,beta,3.048518e-13,-125.156
Major,34031,7,1,581344,283.859,TP7,no,gamma,1.133675e-13,-129.447
Major,34031,7,1,581344,283.859,F3,no,theta,1.998275e-12,-116.993
Major,34031,7,1,581344,283.859,F3,no,alpha,3.806074e-12,-114.195
Major,34031,7,1,581344,283.859,F3,no,beta,5.684565e-13,-122.451
Major,34031,7,1,581344,283.859,F3,no,gamma,2.141312e-13,-126.689
Major,34031,7,1,581344,283.859,F7,no,theta,1.407200e-12,-118.516
Major,34031,7,1,581344,283.859,F7,no,alpha,5.126363e-12,-112.902
Major,34031,7,1,581344,283.859,F7,no,beta,3.419818e-13,-124.657
Major,34031,7,1,581344,283.859,F7,no,gamma,1.939583e-13,-127.118
Major,34031,7,1,581344,283.859,O2,no,theta,2.124123e-12,-116.728
Major,34031,7,1,581344,283.859,O2,no,alpha,5.182326e-12,-112.855
Major,34031,7,1,581344,283.859,O2,no,beta,6.338208e-13,-121.979
Major,34031,7,1,581344,283.859,O2,no,gamma,3.296234e-13,-124.817
Major,34031,7,1,581344,283.859,O1,no,theta,2.817066e-12,-115.502
Major,34031,7,1,581344,283.859,O1,no,alpha,7.432349e-12,-111.289
Major,34031,7,1,581344,283.859,O1,no,beta,2.106183e-12,-116.765
Major,34031,7,1,581344,283.859,O1,no,gamma,1.585026e-12,-117.999
Major,34031,7,1,581344,283.859,FC4,no,theta,1.445694e-12,-118.399
Major,34031,7,1,581344,283.859,FC4,no,alpha,2.679857e-12,-115.719
Major,34031,7,1,581344,283.859,FC4,no,beta,5.265195e-13,-122.784
Major,34031,7,1,581344,283.859,FC4,no,gamma,3.596997e-13,-124.438
Major,34031,7,1,581344,283.859,FT8,no,theta,1.352014e-12,-118.689
Major,34031,7,1,581344,283.859,FT8,no,alpha,3.383670e-12,-114.706
Major,34031,7,1,581344,283.859,FT8,no,beta,3.619169e-13,-124.411
Major,34031,7,1,581344,283.859,FT8,no,gamma,2.636371e-13,-125.786
Major,34031,7,1,581344,283.859,FC3,no,theta,1.137555e-12,-119.439
Major,34031,7,1,581344,283.859,FC3,no,alpha,1.777542e-12,-117.501
Major,34031,7,1,581344,283.859,FC3,no,beta,5.619030e-13,-122.502
Major,34031,7,1,581344,283.859,FC3,no,gamma,5.437688e-13,-122.644
Major,34031,7,1,581344,283.859,FT7,no,theta,9.076278e-13,-120.420
Major,34031,7,1,581344,283.859,FT7,no,alpha,3.072542e-12,-115.125
Major,34031,7,1,581344,283.859,FT7,no,beta,6.609230e-13,-121.797
Major,34031,7,1,581344,283.859,FT7,no,gamma,6.674345e-13,-121.754
Major,34031,7,1,581344,283.859,FPZ,no,theta,2.142861e-12,-116.690
Major,34031,7,1,581344,283.859,FPZ,no,alpha,7.212516e-12,-111.419
Major,34031,7,1,581344,283.859,FPZ,no,beta,4.455842e-13,-123.509
Major,34031,7,1,581344,283.859,FPZ,no,gamma,1.128719e-13,-129.466
Major,34031,7,1,581344,283.859,OZ,no,theta,2.821057e-12,-115.496
Major,34031,7,1,581344,283.859,OZ,no,alpha,4.363649e-12,-113.601
Major,34031,7,1,581344,283.859,OZ,no,beta,6.633017e-13,-121.781
